Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,16.00,16.38,15.65,16.00,18599500,16.00
2012-09-04,14.64,16.20,14.59,15.98,21900500,15.98
2012-08-01,15.86,16.37,14.59,14.65,17527600,14.65
2012-07-02,15.80,16.17,15.23,15.84,15348400,15.84
2012-06-01,15.04,15.83,14.81,15.83,14102700,15.83
2012-05-01,15.51,16.00,14.80,15.24,19935500,15.24
2012-04-02,15.19,15.70,14.73,15.54,16640200,15.54
2012-03-01,14.89,15.61,14.35,15.22,15408200,15.22
2012-02-01,15.57,16.31,14.37,14.83,22020900,14.83
2012-01-03,16.27,16.39,15.35,15.47,18167300,15.47
2011-12-01,16.42,16.46,14.57,16.13,21943000,16.13
2011-11-01,14.95,16.50,14.75,15.71,24382900,15.71
2011-10-03,13.70,16.79,13.37,15.64,36438000,15.64
2011-09-01,13.67,15.40,12.45,13.17,42743300,13.17
2011-08-01,13.24,13.98,11.09,13.61,33473700,13.61
2011-07-01,15.08,15.95,13.04,13.10,29550000,13.10
2011-06-01,16.34,16.43,14.50,15.04,25772700,15.04
2011-05-02,17.79,18.84,15.63,16.55,41113700,16.55
2011-04-01,16.83,17.77,16.06,17.70,20728700,17.70
2011-03-01,16.46,17.70,15.81,16.68,25018300,16.68
2011-02-01,16.33,17.84,16.04,16.40,24578700,16.40
2011-01-03,16.81,17.34,15.41,16.12,23201900,16.12
2010-12-01,16.00,17.22,16.00,16.63,12970200,16.63
2010-11-01,16.50,17.60,15.77,15.82,21166800,15.82
2010-10-01,14.19,16.76,14.13,16.49,29726500,16.49
2010-09-01,13.20,14.53,13.13,14.17,27527400,14.17
2010-08-02,14.01,14.52,12.94,13.11,13811800,13.11
2010-07-01,13.99,15.60,13.52,13.88,24186600,13.88
2010-06-01,15.31,15.84,13.79,13.84,21523300,13.84
2010-05-03,16.68,16.99,14.63,15.34,26797300,15.34
2010-04-01,16.58,19.12,16.22,16.53,33650200,16.53
2010-03-01,15.43,16.94,15.40,16.53,21831600,16.53
2010-02-01,15.14,15.71,14.48,15.31,21501000,15.31
2010-01-04,16.94,17.30,14.90,15.01,24600000,15.01
2009-12-01,15.03,16.99,14.85,16.78,18305700,16.78
2009-11-02,15.75,16.36,14.80,14.97,20043500,14.97
